	Arg1	Arg2	Conn1	Conn2	ExplConn	File	RelType	SClass1A	SClass1B	SClass2A	SClass2B	Sup1	Sup2
89	Deshalb sterben immer weniger Menschen an der Krankheit	Im Jahr 2017 sind 940.000 Menschen gestorben. Vor 10 Jahren waren es noch doppelt so viele	beispielsweise	und zwar	NA	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Implicit	Expansion.Instantiation.Arg2-as-instance	NA	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA
90	Im Jahr 2017 sind 940.000 Menschen gestorben	Vor 10 Jahren waren es noch doppelt so viele	NA	NA	Im Jahr 2017...Vor 10 Jahren	aids-konferenz.2042.de.html__dram_article__id=423882.txt	AltLex	Comparison.Contrast	Temporal.Asynchronous.Succession	NA	NA	NA	NA
91	Es gibt immer bessere Medikamente gegen Aids	In den meisten Regionen auf der Welt stecken sich...immer weniger Leute mit dem HI-Virus an	NA	NA	auch	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Explicit	Comparison.Similarity	Expansion.Conjunction	NA	NA	NA	NA
92	In den meisten Regionen auf der Welt stecken sich auch immer weniger Leute mit dem HI-Virus an	Die Fach-Leute haben...gewarnt	NA	NA	aber auch	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
93	Die Fach-Leute haben aber auch gewarnt	Im Osten von Europa und in Zentral-Asien stecken sich immer mehr Menschen an	und zwar	denn	NA	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	Contingency.Cause.Reason	NA	NA	NA
94	Im Osten von Europa und in Zentral-Asien stecken sich immer mehr Menschen an	schlimm ist die Situation in Russland	NA	NA	Besonders	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
95	Besonders schlimm ist die Situation in Russland	Die Experten fordern von den Politikern, dass alle Betroffenen Medikamente gegen Aids bekommen	deshalb	NA	NA	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
96	Die Experten fordern von den Politikern, dass alle Betroffenen Medikamente gegen Aids bekommen	sie fordern, dass die Menschen mehr darüber erfahren, wie sie sich gegen eine Ansteckung schützen können	NA	NA	Und	aids-konferenz.2042.de.html__dram_article__id=423882.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
97	Der AfD-Politiker Alexander Gauland hat mit einer Äußerung zum National-Sozialismus für Empörung gesorgt	Er hat die Herrschaft der Nazis als „Vogel-Schiss“ in der deutschen Geschichte bezeichnet	nämlich	indem	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Implicit	Contingency.Cause.Reason	Expansion.Level-of-detail.Arg2-as-detail	Expansion.Manner.Arg2-as-manner	NA	NA	NA
98	Er hat die Herrschaft der Nazis als „Vogel-Schiss“ in der deutschen Geschichte bezeichnet	Alexander Gauland ist ein Vorsitzender von der AfD-Fraktion im Bundestag	NA	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	EntRel	NA	NA	NA	NA	NA	NA
99	Alexander Gauland ist ein Vorsitzender von der AfD-Fraktion im Bundestag	Er hat bei einem Treffen von der AfD-Jugend eine Rede gehalten	NA	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	EntRel	NA	NA	NA	NA	NA	NA
100	Er hat bei einem Treffen von der AfD-Jugend eine Rede gehalten	Darin hat er gesagt, dass die Deutschen eine ruhmreiche Geschichte haben	NA	NA	Darin	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	AltLex	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
101	Darin hat er gesagt, dass die Deutschen eine ruhmreiche Geschichte haben	"hat er gesagt: Die ""dauerte länger als die verdammten 12 Jahre"""	NA	NA	Weiter	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Explicit	Expansion.Conjunction	Temporal.Asynchronous.Precedence	NA	NA	NA	NA
102	"Weiter hat er gesagt: Die ""dauerte länger als die verdammten 12 Jahre"	Damit hat Gauland die Zeit des National-Sozialismus gemeint	NA	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	EntRel	NA	NA	NA	NA	NA	NA
103	Damit hat Gauland die Zeit des National-Sozialismus gemeint	Er hat sich zur deutschen Verantwortung für die 12 Jahre bekannt	NA	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	EntRel	NA	NA	NA	NA	NA	NA
104	Er hat sich zur deutschen Verantwortung für die 12 Jahre bekannt	"hat er wörtlich gesagt: ""Aber Hitler und die Nazis sind nur ein Vogel-Schiss in über tausend Jahren erfolgreicher deutscher Geschichte"	NA	NA	Und dann	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Explicit	Temporal.Asynchronous.Precedence	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA
105	"Und dann hat er wörtlich gesagt: ""Aber Hitler und die Nazis sind nur ein Vogel-Schiss in über tausend Jahren erfolgreicher deutscher Geschichte."	Für diesen Satz hat Gauland Applaus bekommen	NA	NA	Für diesen Satz	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	AltLex	Contingency.Cause.Result	Temporal.Asynchronous.Precedence	NA	NA	NA	NA
106	Für diesen Satz hat Gauland Applaus bekommen	Viele Menschen haben sich über diesen Satz aufgeregt	jedoch auch	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Implicit	Comparison.Contrast	NA	NA	NA	NA	NA
107	Viele Menschen haben sich über diesen Satz aufgeregt	Sie finden: Gauland tut so, als seien die Verbrechen von den Nazis nicht so schlimm gewesen. Er verhöhnt damit die Opfer	nämlich	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Implicit	Contingency.Cause.Reason	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA
108	Gauland tut so, als seien die Verbrechen von den Nazis nicht so schlimm gewesen	Er verhöhnt...die Opfer	NA	NA	damit	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Explicit	Contingency.Cause+Belief.Result+Belief	Expansion.Manner.Arg1-as-manner	NA	NA	NA	NA
109	Sie finden: Gauland tut so, als seien die Verbrechen von den Nazis nicht so schlimm gewesen. Er verhöhnt damit die Opfer	Der Sprecher von der Bundes-Regierung hat gesagt: Es ist beschämend, dass man sich mit solchen Äußerungen eines Bundestags-Abgeordneten befassen muss	genauso	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Implicit	Comparison.Similarity	NA	NA	NA	NA	NA
110	Der Sprecher von der Bundes-Regierung hat gesagt: Es ist beschämend, dass man sich mit solchen Äußerungen eines Bundestags-Abgeordneten befassen muss	einige Politiker von der AfD haben sich beschwert	NA	NA	Auch	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	NA
111	Auch einige Politiker von der AfD haben sich beschwert	Sie finden, dass die Partei mit solchen Äußerungen zu rechts-radikal klingt	nämlich	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Implicit	Contingency.Cause.Reason	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA
112	Viele Menschen haben sich über diesen Satz aufgeregt	gibt es bereits eine Anzeige gegen Gauland wegen Volks-Verhetzung	NA	NA	Inzwischen	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
113	Inzwischen gibt es bereits eine Anzeige gegen Gauland wegen Volks-Verhetzung	"Die Leute, die die Talk-Show ""Hart aber fair"" machen, haben entschieden: Gauland wird nicht mehr als Gast eingeladen"	deshalb	NA	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
114	"Die Leute, die die Talk-Show ""Hart aber fair"" machen, haben entschieden: Gauland wird nicht mehr als Gast eingeladen"	"Gauland selbst hat gesagt: Ich habe das nicht so gemeint. Das Wort ""Vogel-Schiss"" bedeutet, dass ich den National-Sozialismus verachte"	NA	NA	selbst	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	AltLex	Comparison.Contrast	NA	NA	NA	NA	NA
115	Ich habe das nicht so gemeint	"Das Wort ""Vogel-Schiss"" bedeutet, dass ich den National-Sozialismus verachte"	sondern	denn	NA	empoerung-ueber-gauland.2042.de.html__dram_article__id=419777.txt	Implicit	Expansion.Substitution.Arg2-as-subst	NA	Contingency.Cause.Reason	NA	NA	NA
116	Der Partei AfD wurde viel Geld gespendet	Das Geld kam aus dem Ausland	NA	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	EntRel	NA	NA	NA	NA	NA	NA
117	Das Geld kam aus dem Ausland	In Deutschland sind große Partei-Spenden verboten, wenn sie aus Ländern kommen, die nicht zu der Europäischen Union gehören	aber	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Implicit	Comparison.Concession.Arg1-as-denier	NA	NA	NA	NA	NA
118	In Deutschland sind große Partei-Spenden verboten	sie aus Ländern kommen, die nicht zu der Europäischen Union gehören	NA	NA	wenn	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Contingency.Condition.Arg2-as-cond	NA	NA	NA	NA	NA
119	Der Partei AfD wurde viel Geld gespendet. Das Geld kam aus dem Ausland	gibt es jetzt Streit	NA	NA	Deshalb	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
120	Der Partei AfD wurde viel Geld gespendet. Das Geld kam aus dem Ausland	Deshalb gibt es...Streit	NA	NA	jetzt	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
121	Deshalb gibt es jetzt Streit	Die Partei AfD hat von einer Firma aus dem Land Schweiz 130.000 Euro erhalten	NA	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	NoRel	NA	NA	NA	NA	NA	NA
122	Die Partei AfD hat von einer Firma aus dem Land Schweiz 130.000 Euro erhalten	Das Gesetz sagt...Parteien in Deutschland dürfen keine Spenden annehmen, wenn sie aus Ländern kommen, die nicht zu der EU gehören	NA	NA	aber	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Comparison.Concession.Arg1-as-denier	NA	NA	NA	NA	NA
123	Parteien in Deutschland dürfen keine Spenden annehmen	sie aus Ländern kommen, die nicht zu der EU gehören	NA	NA	wenn	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Contingency.Condition.Arg2-as-cond	NA	NA	NA	NA	NA
124	Parteien in Deutschland dürfen keine Spenden annehmen, wenn sie aus Ländern kommen, die nicht zu der EU gehören	Die Schweiz gehört nicht zu der EU	NA	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	EntRel	NA	NA	NA	NA	NA	NA
125	Die Schweiz gehört nicht zu der EU	Das Geld hätte die AfD sofort zurück zahlen müssen	deshalb	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
126	Das Geld hätte die AfD sofort zurück zahlen müssen	Das hat sie...nicht gemacht	NA	NA	aber	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
127	Das Geld hätte die AfD sofort zurück zahlen müssen	hätte die AfD die Spende dem Bundestag melden müssen	NA	NA	Außerdem	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
128	Das hat sie aber nicht gemacht	das hat sie nicht getan	NA	NA	Auch	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Comparison.Similarity	Expansion.Conjunction	NA	NA	NA	NA
129	Außerdem hätte die AfD die Spende dem Bundestag melden müssen	Auch das hat sie nicht getan	aber	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
130	Die Partei AfD hat von einer Firma aus dem Land Schweiz 130.000 Euro erhalten....Das Geld hätte die AfD sofort zurück zahlen müssen. Das hat sie aber nicht gemacht. Außerdem hätte die AfD die Spende dem Bundestag melden müssen. Auch das hat sie nicht getan	Politiker von anderen Parteien kritisieren die AfD	NA	NA	deshalb	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
131	Politiker von anderen Parteien kritisieren die AfD deshalb	Sie sagen: Die AfD hat gegen das Gesetz verstoßen	indem	und zwar	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Implicit	Expansion.Manner.Arg2-as-manner	NA	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA
132	Sie sagen: Die AfD hat gegen das Gesetz verstoßen	will die Staats-Anwaltschaft jetzt ermitteln	NA	NA	Deshalb	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
133	Sie sagen: Die AfD hat gegen das Gesetz verstoßen	Deshalb will die Staats-Anwaltschaft...ermitteln	NA	NA	jetzt	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
134	Die Partei AfD hat von einer Firma aus dem Land Schweiz 130.000 Euro erhalten	Die AfD hat...aus dem Land Niederlande eine Spende erhalten	NA	NA	auch	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	NA
135	Die AfD hat auch aus dem Land Niederlande eine Spende erhalten	Das Geld kam von einer Stiftung	NA	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	EntRel	NA	NA	NA	NA	NA	NA
136	Das Geld kam von einer Stiftung	Partei-Spenden aus dem EU-Land Niederlande verstoßen nicht grundsätzlich gegen das Gesetz	NA	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	EntRel	NA	NA	NA	NA	NA	NA
137	Partei-Spenden aus dem EU-Land Niederlande verstoßen nicht...gegen das Gesetz	Spenden aus einem EU-Land müssen dem Bundestag gemeldet werden, wenn sie mehr als 50.000 Euro betragen	NA	NA	grundsätzlich...Aber	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
138	Aber Spenden aus einem EU-Land müssen dem Bundestag gemeldet werden	sie mehr als 50.000 Euro betragen	NA	NA	wenn	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Contingency.Condition.Arg2-as-cond	NA	NA	NA	NA	NA
139	Aber Spenden aus einem EU-Land müssen dem Bundestag gemeldet werden, wenn sie mehr als 50.000 Euro betragen	Die AfD hat...erst sehr spät die Spende gemeldet	NA	NA	aber	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
140	Die AfD hat aber erst sehr spät die Spende gemeldet	Beide Spenden gingen an den AfD-Kreis-Verband am Bodensee	NA	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	EntRel	NA	NA	NA	NA	NA	NA
141	Beide Spenden gingen an den AfD-Kreis-Verband am Bodensee	Das ist der Verband, in dem die AfD-Politikerin Alice Weidel Mitglied ist	NA	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	EntRel	NA	NA	NA	NA	NA	NA
142	Das ist der Verband, in dem die AfD-Politikerin Alice Weidel Mitglied ist	Politiker von anderen Parteien sagen: Alice Weidel hat von den Spenden gewusst. Deshalb muss sie zurück treten	deshalb	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
143	Alice Weidel hat von den Spenden gewusst	muss sie zurück treten	NA	NA	Deshalb	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Contingency.Cause+Belief.Result+Belief	NA	NA	NA	NA	NA
144	Politiker von anderen Parteien sagen: Alice Weidel hat von den Spenden gewusst. Deshalb muss sie zurück treten	Die AfD ist nicht die einzige Partei mit Ärger um Spenden	NA	NA	NA	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	EntRel	NA	NA	NA	NA	NA	NA
145	Die AfD ist nicht die einzige Partei mit Ärger um Spenden	andere Parteien haben schon Spenden-Skandale gehabt	NA	NA	Auch	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Comparison.Similarity	Expansion.Substitution.Arg2-as-subst	NA	NA	NA	NA
146	Auch andere Parteien haben schon Spenden-Skandale gehabt	Die AfD hat...oft gesagt: wir sind da besser als die alten Parteien	NA	NA	aber	afd-spenden-skandal.2042.de.html__dram_article__id=433310.txt	Explicit	Comparison.Contrast	NA	NA	NA	NA	NA
147	In Deutschland und in vielen anderen Ländern ist es zur Zeit sehr heiß	Viele Menschen leiden unter der Hitze	NA	NA	unter der Hitze	grosse-hitze.2042.de.html__dram_article__id=424481.txt	AltLex	Contingency.Cause.Result	NA	NA	NA	NA	besonders ältere und kranke Menschen
148	Viele Menschen leiden unter der Hitze	auf den Feldern vertrocknen viele Pflanzen	NA	NA	Und	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Expansion.Conjunction	NA	NA	NA	besonders ältere und kranke Menschen	NA
149	Und auf den Feldern vertrocknen viele Pflanzen	das Wasser in den Flüssen ist wärmer als sonst	NA	NA	Auch	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Expansion.Conjunction	Comparison.Similarity	NA	NA	NA	NA
150	sterben die Fische	es zu warm wird	NA	NA	Wenn	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Contingency.Condition.Arg1-as-cond	NA	NA	NA	NA	NA
151	Für viele Fisch-Arten ist das gefährlich	Wenn es zu warm wird, sterben die Fische	denn	NA	NA	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Implicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
152	Auch das Wasser in den Flüssen ist wärmer als sonst	Manche Atom-Kraft-Werke dürfen...nicht mehr mit voller Kraft laufen	NA	NA	jetzt	grosse-hitze.2042.de.html__dram_article__id=424481.txt	AltLex	Temporal.Synchronous	Contingency.Cause.Result	NA	NA	Für viele Fisch-Arten ist das gefährlich. Wenn es zu warm wird, sterben die Fische	NA
153	Manche Atom-Kraft-Werke dürfen jetzt nicht mehr mit voller Kraft laufen	sie benutzen Wasser aus den Flüssen zum Kühlen	NA	NA	Denn	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
154	Denn sie benutzen Wasser aus den Flüssen zum Kühlen	Durch die Wärme aus den Kraft-Werken wird das Wasser dann noch wärmer	NA	NA	Durch die Wärme aus den Kraft-Werken...dann	grosse-hitze.2042.de.html__dram_article__id=424481.txt	AltLex	Contingency.Cause.Result	Contingency.Condition.Arg1-as-cond	NA	NA	NA	NA
155	Manche Atom-Kraft-Werke dürfen jetzt nicht mehr mit voller Kraft laufen	Für manche Firmen ist die Hitze gut	hingegen	NA	NA	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Implicit	Comparison.Contrast	NA	NA	NA	Denn sie benutzen Wasser aus den Flüssen zum Kühlen. Durch die Wärme aus den Kraft-Werken wird das Wasser dann noch wärmer	Eis-Hersteller verdienen zum Beispiel viel mehr Geld als in kälteren Sommern. Und auch Getränke-Hersteller können in diesem Jahr besonders viel verkaufen
156	Für manche Firmen ist die Hitze gut	Eis-Hersteller verdienen...viel mehr Geld als in kälteren Sommern	NA	NA	zum Beispiel	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
157	Eis-Hersteller verdienen zum Beispiel viel mehr Geld als in kälteren Sommern	auch Getränke-Hersteller können in diesem Jahr besonders viel verkaufen	NA	NA	Und	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
158	Eis-Hersteller verdienen zum Beispiel viel mehr Geld als in kälteren Sommern	Und...Getränke-Hersteller können in diesem Jahr besonders viel verkaufen	NA	NA	auch	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	NA
159	In Deutschland und in vielen anderen Ländern ist es zur Zeit sehr heiß	regnet es viel zu wenig	NA	NA	Außerdem	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
160	Außerdem regnet es viel zu wenig	Viele Bauern haben...große Probleme	NA	NA	deshalb	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
161	Viele Bauern haben deshalb große Probleme	Sie ernten weniger als sonst	nämlich	NA	NA	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	Contingency.Cause.Reason	NA	NA	NA	NA
162	Sie ernten weniger als sonst	die Pflanzen bekommen nicht genug Wasser	NA	NA	Denn	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
163	Denn die Pflanzen bekommen nicht genug Wasser	Zum Ausgleich wollen die Bauern Geld vom Staat	deshalb	NA	NA	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
164	Zum Ausgleich wollen die Bauern Geld vom Staat	Die Bundes-Regierung hat darüber noch nicht entschieden	jedoch	NA	NA	grosse-hitze.2042.de.html__dram_article__id=424481.txt	Implicit	Comparison.Contrast	NA	NA	NA	NA	NA
165	Frank Magnitz ist ein Politiker von der Partei AfD	3 Männer haben ihn angegriffen und schwer verletzt	NA	NA	NA	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	EntRel	NA	NA	NA	NA	NA	NA
166	3 Männer haben ihn angegriffen und schwer verletzt	Die Bundes-Regierung und alle Parteien waren entsetzt	darüber	NA	NA	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
167	Die Bundes-Regierung und alle Parteien waren entsetzt	Die AfD hat gesagt: Das war ein Mord-Anschlag	zum Beispiel	NA	NA	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Implicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
168	Die AfD hat gesagt: Das war ein Mord-Anschlag	Sie hat...die anderen Parteien beschuldigt	NA	NA	auch	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Explicit	Comparison.Similarity	Expansion.Conjunction	NA	NA	NA	NA
169	Sie hat auch die anderen Parteien beschuldigt	Sie meint: Weil die Politiker und die Medien die AfD immer so schlecht machen, hat es den Angriff auf Frank Magnitz gegeben	nämlich	NA	NA	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	Contingency.Cause.Reason	NA	NA	NA	NA
170	hat es den Angriff auf Frank Magnitz gegeben	die Politiker und die Medien die AfD immer so schlecht machen	NA	NA	Weil	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
171	Die AfD hat gesagt: Das war ein Mord-Anschlag	Die anderen Parteien haben gesagt: Der Angriff war schlimm	NA	NA	Die AfD hat gesagt...Die anderen Parteien haben gesagt	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	AltLexC	Comparison.Contrast	NA	NA	NA	Sie hat auch die anderen Parteien beschuldigt. Sie meint: Weil die Politiker und die Medien die AfD immer so schlecht machen, hat es den Angriff auf Frank Magnitz gegeben	NA
172	Die anderen Parteien haben gesagt: Der Angriff war schlimm	Gewalt hat in der Politik nichts zu suchen	NA	NA	Und	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
173	Und: Gewalt hat in der Politik nichts zu suchen	Außen-Minister Heiko Maas hat gefordert: Die Täter müssen bestraft werden	deshalb	NA	NA	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
174	Außen-Minister Heiko Maas hat gefordert: Die Täter müssen bestraft werden	Bundes-Präsident Frank-Walter Steinmeier hat den Angriff kritisiert	NA	NA	Auch	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	NA
175	Auch Bundes-Präsident Frank-Walter Steinmeier hat den Angriff kritisiert	"Er meint: ""Das ist gefährlich für die Demokratie"	nämlich	indem	NA	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	Contingency.Cause.Reason	Expansion.Manner.Arg2-as-manner	NA	NA	NA
176	"Er meint: ""Das ist gefährlich für die Demokratie"	Die AfD hat zuerst gesagt: Die Männer haben Frank Magnitz mit einem Holz-Stück angegriffen und gegen seinen Kopf getreten	NA	NA	NA	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	NoRel	NA	NA	NA	NA	NA	NA
177	Die AfD hat...gesagt: Die Männer haben Frank Magnitz mit einem Holz-Stück angegriffen und gegen seinen Kopf getreten	Die Staats-Anwaltschaft sagt: Das stimmt nicht. Auf einem Video sieht man, dass die Männer Frank Magnitz in den Rücken springen und dann weg-laufen	NA	NA	zuerst	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
178	Die AfD hat zuerst gesagt: Die Männer haben Frank Magnitz mit einem Holz-Stück angegriffen und gegen seinen Kopf getreten	Die Staats-Anwaltschaft sagt: Das stimmt nicht	NA	NA	Die AfD hat...gesagt	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	AltLex	Comparison.Contrast	NA	NA	NA	NA	NA
179	Das stimmt nicht	Auf einem Video sieht man, dass die Männer Frank Magnitz in den Rücken springen und dann weg-laufen	denn	NA	NA	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Implicit	Contingency.Cause+Belief.Reason+Belief	NA	NA	NA	NA	NA
180	dass die Männer Frank Magnitz in den Rücken springen	und...weg-laufen	NA	NA	dann	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
181	Die Staats-Anwaltschaft sagt: Das stimmt nicht. Auf einem Video sieht man, dass die Männer Frank Magnitz in den Rücken springen und dann weg-laufen	Sie sagt...Die schweren Verletzungen kommen von dem Sturz	NA	NA	auch	angriff-auf-politiker.2042.de.html__dram_article__id=437968.txt	Explicit	Comparison.Similarity	Expansion.Conjunction	NA	NA	NA	NA
